id,key,self,resolutiondate,created,resolutiontime,timespent,commentlength
'13340718', 'DBCP-568', 'https://issues.apache.org/jira/rest/api/2/issue/13340718',2020-11-19T17:02:06.000+0000, '2020-11-15T18:38:06.000+0000',3.933333333333333,3600,1920
'13217640', 'AAR-232', 'https://issues.apache.org/jira/rest/api/2/issue/13217640',2019-02-25T04:14:59.000+0000, '2019-02-24T07:26:59.000+0000',0.8666666666666667,1200,208
'13187841', 'MENFORCER-319', 'https://issues.apache.org/jira/rest/api/2/issue/13187841',2018-10-07T06:16:21.000+0000, '2018-09-27T09:28:21.000+0000',9.866666666666667,600,5524
'13241510', 'NIFIREG-289', 'https://issues.apache.org/jira/rest/api/2/issue/13241510',2019-06-29T00:49:47.000+0000, '2019-06-25T15:13:47.000+0000',3.4,4200,241
'13204664', 'DOXIA-583', 'https://issues.apache.org/jira/rest/api/2/issue/13204664',2018-12-26T16:40:54.000+0000, '2018-12-15T16:40:54.000+0000',11.0,1200,1959
'13107217', 'MTOOLCHAINS-21', 'https://issues.apache.org/jira/rest/api/2/issue/13107217',2017-11-14T22:23:31.000+0000, '2017-10-05T12:47:31.000+0000',40.4,2400,444
'13362782', 'CURATOR-590', 'https://issues.apache.org/jira/rest/api/2/issue/13362782',2021-03-06T18:42:39.000+0000, '2021-03-06T15:30:39.000+0000',0.13333333333333333,13200,711
'13291305', 'OLINGO-1435', 'https://issues.apache.org/jira/rest/api/2/issue/13291305',2020-03-21T06:00:32.000+0000, '2020-03-12T12:24:32.000+0000',8.733333333333333,600,113
'13231375', 'AMATERASU-76', 'https://issues.apache.org/jira/rest/api/2/issue/13231375',2019-05-03T07:15:44.000+0000, '2019-05-02T23:15:44.000+0000',0.3333333333333333,1200,524
'13287094', 'MLINKCHECK-36', 'https://issues.apache.org/jira/rest/api/2/issue/13287094',2020-02-27T07:02:51.000+0000, '2020-02-23T19:50:51.000+0000',3.466666666666667,1200,60
'13277972', 'ISIS-2258', 'https://issues.apache.org/jira/rest/api/2/issue/13277972',2020-01-07T17:25:04.000+0000, '2020-01-07T17:25:04.000+0000',0.0,1200,3174
'13270340', 'CODEC-270', 'https://issues.apache.org/jira/rest/api/2/issue/13270340',2019-11-25T03:34:17.000+0000, '2019-11-24T22:46:17.000+0000',0.2,1200,1152
'13092531', 'MDEP-579', 'https://issues.apache.org/jira/rest/api/2/issue/13092531',2017-09-28T07:26:45.000+0000, '2017-08-04T17:02:45.000+0000',54.6,2400,913
'13298712', 'MGPG-78', 'https://issues.apache.org/jira/rest/api/2/issue/13298712',2020-04-16T19:03:09.000+0000, '2020-04-16T06:15:09.000+0000',0.5333333333333333,600,1257
'13378187', 'IMAGING-305', 'https://issues.apache.org/jira/rest/api/2/issue/13378187',2021-05-12T20:17:55.000+0000, '2021-05-12T20:17:55.000+0000',0.0,2400,1073
'13186807', 'CODEC-250', 'https://issues.apache.org/jira/rest/api/2/issue/13186807',2018-10-02T18:12:10.000+0000, '2018-09-22T13:24:10.000+0000',10.2,600,169
'13413418', 'YARN-11014', 'https://issues.apache.org/jira/rest/api/2/issue/13413418',2021-12-03T07:43:06.000+0000, '2021-11-23T15:43:06.000+0000',9.666666666666666,11400,2028
'13231154', 'PARQUET-1566', 'https://issues.apache.org/jira/rest/api/2/issue/13231154',2019-06-09T11:25:29.000+0000, '2019-05-01T22:37:29.000+0000',38.53333333333333,3600,189
'13363748', 'INLONG-576', 'https://issues.apache.org/jira/rest/api/2/issue/13363748',2021-03-11T14:23:43.000+0000, '2021-03-11T06:23:43.000+0000',0.3333333333333333,3000,226
'13218098', 'MYRIAD-289', 'https://issues.apache.org/jira/rest/api/2/issue/13218098',2019-02-26T13:52:40.000+0000, '2019-02-26T13:52:40.000+0000',0.0,2400,1260
'12664317', 'PROTOCOLS-106', 'https://issues.apache.org/jira/rest/api/2/issue/12664317',2014-03-03T12:37:10.000+0000, '2013-08-19T09:25:10.000+0000',196.13333333333333,1800,1150
'13222576', 'MCHECKSTYLE-371', 'https://issues.apache.org/jira/rest/api/2/issue/13222576',2019-04-07T19:37:56.000+0000, '2019-03-19T13:13:56.000+0000',19.266666666666666,1200,830
'13413421', 'IVY-1631', 'https://issues.apache.org/jira/rest/api/2/issue/13413421',2021-11-23T16:25:56.000+0000, '2021-11-23T16:25:56.000+0000',0.0,3000,2190
'13182381', 'SENTRY-2375', 'https://issues.apache.org/jira/rest/api/2/issue/13182381',2018-08-31T23:41:37.000+0000, '2018-08-31T15:41:37.000+0000',0.3333333333333333,90000,376
'12927797', 'SYSTEMDS-270', 'https://issues.apache.org/jira/rest/api/2/issue/12927797',2015-09-10T05:03:10.000+0000, '2015-09-01T19:27:10.000+0000',8.4,28800,317
'13152514', 'GEODE-5082', 'https://issues.apache.org/jira/rest/api/2/issue/13152514',2018-04-15T11:44:05.000+0000, '2018-04-15T00:32:05.000+0000',0.4666666666666667,1800,768
'13227782', 'ZOOKEEPER-3362', 'https://issues.apache.org/jira/rest/api/2/issue/13227782',2019-04-14T11:17:18.000+0000, '2019-04-12T19:17:18.000+0000',1.6666666666666667,17400,526
'13238566', 'MRESOURCES-250', 'https://issues.apache.org/jira/rest/api/2/issue/13238566',2019-08-10T06:41:57.000+0000, '2019-06-10T16:17:57.000+0000',60.6,600,123
'13240441', 'MATH-1492', 'https://issues.apache.org/jira/rest/api/2/issue/13240441',2019-06-19T15:09:23.000+0000, '2019-06-19T15:09:23.000+0000',0.0,1200,5191
'13394170', 'IGNITE-15273', 'https://issues.apache.org/jira/rest/api/2/issue/13394170',2021-08-09T10:12:37.000+0000, '2021-08-09T10:12:37.000+0000',0.0,1200,1501
'13293072', 'METAMODEL-1224', 'https://issues.apache.org/jira/rest/api/2/issue/13293072',2020-03-21T14:59:06.000+0000, '2020-03-21T06:59:06.000+0000',0.3333333333333333,3000,3102
'13110520', 'REEF-1906', 'https://issues.apache.org/jira/rest/api/2/issue/13110520',2017-10-19T07:00:47.000+0000, '2017-10-18T23:00:47.000+0000',0.3333333333333333,86400,258
'13365842', 'AVRO-3078', 'https://issues.apache.org/jira/rest/api/2/issue/13365842',2021-04-14T00:38:12.000+0000, '2021-03-17T13:26:12.000+0000',27.466666666666665,2400,119
'12929047', 'GORA-456', 'https://issues.apache.org/jira/rest/api/2/issue/12929047',2016-04-06T22:29:09.000+0000, '2016-01-10T22:29:09.000+0000',87.0,2400,281
