id,key,self,resolutiondate,created,resolutiontime,timespent,titlelength,commentlength,percent_tone,percent_relevance
'13147488', 'BROOKLYN-586', 'https://issues.apache.org/jira/rest/api/2/issue/13147488',2018-03-28T11:26:10.000+0000, '2018-03-23T14:38:10.000+0000',4.866666666666666,15600,50.7805822038594,732,0.0,2.63880393222069
'13299347', 'AXIOM-502', 'https://issues.apache.org/jira/rest/api/2/issue/13299347',2020-04-18T08:47:14.000+0000, '2020-04-18T08:47:14.000+0000',0.0,1200,47.7496554876233,801,0.0,3.12044136189885
'13062699', 'AVRO-2019', 'https://issues.apache.org/jira/rest/api/2/issue/13062699',2017-07-31T18:29:50.000+0000, '2017-04-09T02:29:50.000+0000',113.66666666666667,3000,84.2549204727243,245,0.0,0.747730810812348
'13222268', 'FILEUPLOAD-296', 'https://issues.apache.org/jira/rest/api/2/issue/13222268',2019-03-18T21:04:23.000+0000, '2019-03-18T09:52:23.000+0000',0.4666666666666667,2400,15.1632110496951,469,0.0,7.45224739203722
'13231526', 'DELTASPIKE-1377', 'https://issues.apache.org/jira/rest/api/2/issue/13231526',2019-05-10T12:35:34.000+0000, '2019-05-03T20:35:34.000+0000',6.666666666666667,1200,61.1592773983398,1480,0.0,1.83128389942423
'13161640', 'CB-14108', 'https://issues.apache.org/jira/rest/api/2/issue/13161640',2018-06-04T04:20:57.000+0000, '2018-05-24T01:08:57.000+0000',11.133333333333333,1200,85.4989917111004,2818,0.0,2.43277722739501
'13068169', 'CARBONDATA-1008', 'https://issues.apache.org/jira/rest/api/2/issue/13068169',2017-05-08T08:52:22.000+0000, '2017-05-01T16:52:22.000+0000',6.666666666666667,136200,45.6412517898058,113,0.0,1.00786017464741
'13150049', 'ATLAS-2530', 'https://issues.apache.org/jira/rest/api/2/issue/13150049',2018-04-04T17:05:16.000+0000, '2018-04-04T15:29:16.000+0000',0.06666666666666667,1200,75.4539661758782,1398,0.0,1.39157694845692
'13235956', 'AMQNET-585', 'https://issues.apache.org/jira/rest/api/2/issue/13235956',2019-05-30T04:59:30.000+0000, '2019-05-28T09:47:30.000+0000',1.8,14400,31.6824727159144,206,0.0,1.10471175384045
'12703738', 'ANY23-183', 'https://issues.apache.org/jira/rest/api/2/issue/12703738',2014-08-07T13:53:17.000+0000, '2014-03-26T15:29:17.000+0000',133.93333333333334,2400,62.8521174758342,70,0.0,0.525041976711255
'13236928', 'GEOMETRY-52', 'https://issues.apache.org/jira/rest/api/2/issue/13236928',2019-05-31T17:51:26.000+0000, '2019-05-31T17:51:26.000+0000',0.0,1200,21.7805446083896,33,0.0,1.01007575318047
'13288094', 'FELIX-6226', 'https://issues.apache.org/jira/rest/api/2/issue/13288094',2020-02-27T16:32:36.000+0000, '2020-02-27T16:32:36.000+0000',0.0,1200,20.9428313542207,388,0.0,8.59482640888112
'13161640', 'CB-14108', 'https://issues.apache.org/jira/rest/api/2/issue/13161640',2018-06-04T04:20:57.000+0000, '2018-05-24T01:08:57.000+0000',11.133333333333333,1200,85.4989917111004,2818,0.0,0.970771682085509
'13116325', 'COLLECTIONS-664', 'https://issues.apache.org/jira/rest/api/2/issue/13116325',2017-12-16T18:04:57.000+0000, '2017-11-06T08:28:57.000+0000',40.4,600,69.938654689963,426,0.0,0.729210480614507
'13215946', 'FELIX-6058', 'https://issues.apache.org/jira/rest/api/2/issue/13215946',2019-03-28T08:50:48.000+0000, '2019-02-15T10:26:48.000+0000',40.93333333333333,600,66.1639848109312,343,0.0,1.29980079412919
'13210557', 'COLLECTIONS-709', 'https://issues.apache.org/jira/rest/api/2/issue/13210557',2019-01-19T23:30:11.000+0000, '2019-01-19T23:30:11.000+0000',0.0,1800,56.9645012834804,448,0.0,1.40438340014397
'13305127', 'BEAM-10004', 'https://issues.apache.org/jira/rest/api/2/issue/13305127',2020-05-18T18:33:13.000+0000, '2020-05-15T07:21:13.000+0000',3.466666666666667,3000,46.3558477600408,637,0.0,2.54552566077148
'13191519', 'CAY-2486', 'https://issues.apache.org/jira/rest/api/2/issue/13191519',2018-10-28T00:31:14.000+0000, '2018-10-15T08:31:14.000+0000',12.666666666666666,1200,37.7276157269721,313,0.0,1.4048065052282
'12975451', 'CAMEL-10013', 'https://issues.apache.org/jira/rest/api/2/issue/12975451',2016-08-17T22:34:39.000+0000, '2016-06-03T11:22:39.000+0000',75.46666666666667,1200,103.624576056422,88,0.0,0.511461682324686
'13059836', 'CALCITE-1726', 'https://issues.apache.org/jira/rest/api/2/issue/13059836',2017-05-13T12:35:20.000+0000, '2017-03-28T20:35:20.000+0000',45.666666666666664,1200,58.1172308402877,870,0.0,0.825916846105574
'13212511', 'ATLAS-3041', 'https://issues.apache.org/jira/rest/api/2/issue/13212511',2019-02-01T08:20:42.000+0000, '2019-01-29T11:32:42.000+0000',2.8666666666666667,3600,62.489118753821,632,0.0,2.40041791261183
'13327492', 'ARROW-10002', 'https://issues.apache.org/jira/rest/api/2/issue/13327492',2020-09-16T23:37:53.000+0000, '2020-09-14T17:13:53.000+0000',2.2666666666666666,19800,39.6203359603403,1225,0.0,2.22108162051143
'13108264', 'AMQ-6833', 'https://issues.apache.org/jira/rest/api/2/issue/13108264',2017-12-07T10:57:57.000+0000, '2017-10-10T10:57:57.000+0000',58.0,1200,72.594696699934,127,0.0,1.15710931815321
'13122885', 'ARTEMIS-1536', 'https://issues.apache.org/jira/rest/api/2/issue/13122885',2018-01-01T18:42:13.000+0000, '2017-12-05T13:54:13.000+0000',27.2,1200,124.011697608248,2535,0.0,1.01603318420842
'12994158', 'CALCITE-1338', 'https://issues.apache.org/jira/rest/api/2/issue/12994158',2016-10-06T20:33:17.000+0000, '2016-08-02T02:57:17.000+0000',65.73333333333333,3000,181.891961801173,1207,0.0,0.577265751384746
'13241066', 'AMQNET-588', 'https://issues.apache.org/jira/rest/api/2/issue/13241066',2019-06-22T21:47:57.000+0000, '2019-06-22T20:11:57.000+0000',0.06666666666666667,11400,29.3432090683971,174,0.0,3.20346693440694
'13068059', 'CARBONDATA-1004', 'https://issues.apache.org/jira/rest/api/2/issue/13068059',2017-05-01T05:00:35.000+0000, '2017-05-01T01:48:35.000+0000',0.13333333333333333,3000,38.5959953047658,146,0.0,2.15048217683225
'13095584', 'BIGTOP-2872', 'https://issues.apache.org/jira/rest/api/2/issue/13095584',2017-08-18T18:14:33.000+0000, '2017-08-18T08:38:33.000+0000',0.4,1200,79.9639244573866,375,0.0,0.912911672299204
'13273716', 'GOBBLIN-1002', 'https://issues.apache.org/jira/rest/api/2/issue/13273716',2019-12-10T22:25:12.000+0000, '2019-12-10T22:25:12.000+0000',0.0,3000,53.6136482668051,93,0.0,0.764730648359648
'13381987', 'FLAGON-488', 'https://issues.apache.org/jira/rest/api/2/issue/13381987',2021-06-03T19:18:07.000+0000, '2021-06-03T19:18:07.000+0000',0.0,4800,36.0216699292597,177,0.0,1.52685869666816
