"","Estimate","Std. Error","t value","Pr(>|t|)","model"
"(Intercept)",16.4302584448458,2.38061402244262,6.90168934987102,2.14027218515059e-11,"Linear"
"commentlength",-0.00340546537146301,0.00176368247377469,-1.93088349070823,0.0542352166156622,"Linear"
"(Intercept)1",40.325457942135,9.95245757332654,4.05180907781118,6.15568015623267e-05,"Logarithmic"
"log(commentlength)",-4.354715811108,1.58837857126432,-2.74161077836862,0.00640054190524909,"Logarithmic"
"(Intercept)2",19.4433929409215,3.02820924097256,6.42075609500382,4.02877853803577e-10,"Quadratic"
"commentlength1",-0.00992197653665177,0.00442601708687387,-2.24173932045521,0.0255516902102519,"Quadratic"
"I(commentlength^2)",1.42040811636779e-06,8.85180620590772e-07,1.60465342702578,0.109396478020769,"Quadratic"
