"","Estimate","Std. Error","t value","Pr(>|t|)","model"
"(Intercept)",33.5568487817949,1.14507453271272,29.3053839057074,1.10692778102684e-96,"Linear"
"percent_toxic",133.411574119002,4.64269738027168,28.7357893895715,1.4829223947545e-94,"Linear"
"(Intercept)1",126.124014156997,0.0475279279034913,2653.68215532352,0,"Logarithmic"
"log(percent_toxic_adj)",30.6569380735616,0.0187942903394321,1631.18359458567,0,"Logarithmic"
"(Intercept)2",18.0457604919303,0.932972248333913,19.3422264425937,2.39593085498767e-57,"Quadratic"
"percent_toxic1",317.263019784724,7.9259082662178,40.0286010294843,2.84587993777988e-133,"Quadratic"
"I(percent_toxic^2)",-223.88962199041,9.02628561343822,-24.8041809863723,2.40525610997602e-79,"Quadratic"
