"","Estimate","Std. Error","t value","Pr(>|t|)","model"
"(Intercept)",36.495164526479,21.2275817761407,1.71923325564566,0.107593125600312,"Linear"
"percent_tone",250.715015497176,197.493711067808,1.26948354021813,0.224966289267322,"Linear"
"(Intercept)1",109.470778389086,40.3858805210961,2.71062007257468,0.0169013626737707,"Logarithmic"
"log(percent_tone_adj)",18.2884117570031,13.5283159411341,1.3518616682654,0.197857329348156,"Logarithmic"
"(Intercept)2",21.0227353326976,31.4603736652686,0.668229041281417,0.51567707561789,"Quadratic"
"percent_tone1",705.651245199773,700.739453895667,1.00700944020891,0.332306939220232,"Quadratic"
"I(percent_tone^2)",-2000.4135905712,2951.20974451133,-0.677828336088811,0.509765384400783,"Quadratic"
