"","Estimate","Std. Error","t value","Pr(>|t|)","model"
"(Intercept)",46.2695878197583,3.75993236158167,12.3059628126646,1.68648936870067e-29,"Linear"
"percent_relevance",-9.38058661827033,1.70330049448642,-5.50729988550775,6.74504287919362e-08,"Linear"
"(Intercept)1",39.8757330989593,2.55747289352382,15.5918497513444,1.12847050160213e-42,"Logarithmic"
"log(percent_relevance)",-24.8500699237603,3.53418935475594,-7.03133517459094,9.62885758948576e-12,"Logarithmic"
"(Intercept)2",59.0920976668584,5.31348836829886,11.1211493412522,4.86329731591363e-25,"Quadratic"
"percent_relevance1",-20.4928486309538,3.70049743428863,-5.53786321835225,5.75113929902099e-08,"Quadratic"
"I(percent_relevance^2)",1.55314768138886,0.460810030247831,3.37047281838365,0.000827954288660285,"Quadratic"
